"ANIO","MES","AEROPUERTO_OPERACION","ORIGEN","DESTINO","EMPRESA","EXPLOTADOR","TIPO_VUELO","TRAFICO","TIPO_OPERACION","TotalOperaciones"
"2025","01","EJC","EJC","ZZZZ","Estado","Estado","M","N","SALIDA","1"
"2025","01","SKAC","SKAC","SKFL","NSE","1EH","S","N","SALIDA","4"
"2025","01","SKAC","SKAC","SKLT","Estado","Estado","M","N","SALIDA","1"
"2025","01","SKAC","SKAC","SKLT","NSE","1EH","S","N","SALIDA","4"
"2025","01","SKAC","SKFL","SKAC","Estado","Estado","M","N","LLEGADA","1"
"2025","01","SKAC","SKFL","SKAC","NSE","1EH","S","N","LLEGADA","4"
"2025","01","SKAC","SKLT","SKAC","Estado","Estado","M","N","LLEGADA","1"
"2025","01","SKAC","SKLT","SKAC","NSE","1EH","S","N","LLEGADA","4"
"2025","01","SKAD","SKAD","SKMD","NSE","1EH","S","N","SALIDA","22"
"2025","01","SKAD","SKMD","SKAD","NSE","1EH","S","N","LLEGADA","11"
"2025","01","SKAD","SKMD","SKAD","NSE","NSE","S","N","LLEGADA","11"
"2025","01","SKAG","AFIL","SKAG","Estado","Estado","M","N","LLEGADA","2"
"2025","01","SKAG","SKAG","SKBG","1DF","1DF","N","N","SALIDA","8"
"2025","01","SKAG","SKAG","SKBG","Estado","Estado","M","N","SALIDA","1"
"2025","01","SKAG","SKAG","SKBO","Estado","Estado","M","N","SALIDA","2"
"2025","01","SKAG","SKAG","SKBO","NSE","NSE","S","N","SALIDA","15"
"2025","01","SKAG","SKAG","SKBQ","Estado","Estado","M","N","SALIDA","3"
"2025","01","SKAG","SKAG","SKCC","1HB","1HB","N","N","SALIDA","1"
"2025","01","SKAG","SKAG","SKCC","Estado","Estado","M","N","SALIDA","2"
"2025","01","SKAG","SKAG","SKMD","UNO","HTS","N","N","SALIDA","1"
"2025","01","SKAG","SKAG","SKPQ","Estado","Estado","M","N","SALIDA","1"
"2025","01","SKAG","SKAG","SKTI","Estado","Estado","M","N","SALIDA","1"
"2025","01","SKAG","SKAG","SKVP","Estado","Estado","M","N","SALIDA","1"
"2025","01","SKAG","SKAG","SKVP","UNO","HTS","N","N","SALIDA","1"
"2025","01","SKAG","SKBG","SKAG","1DF","1DF","N","N","LLEGADA","9"
"2025","01","SKAG","SKBO","SKAG","Estado","Estado","M","N","LLEGADA","1"
"2025","01","SKAG","SKBO","SKAG","NSE","NSE","S","N","LLEGADA","15"
"2025","01","SKAG","SKBQ","SKAG","Estado","Estado","M","N","LLEGADA","2"
"2025","01","SKAG","SKCC","SKAG","Estado","Estado","M","N","LLEGADA","1"
"2025","01","SKAG","SKCU","SKAG","Estado","Estado","M","N","LLEGADA","1"
"2025","01","SKAG","SKEJ","SKAG","Estado","Estado","M","N","LLEGADA","1"
"2025","01","SKAG","SKMD","SKAG","UNO","HTS","N","N","LLEGADA","1"
"2025","01","SKAG","SKPQ","SKAG","Estado","Estado","M","N","LLEGADA","2"
"2025","01","SKAG","SKVP","SKAG","Estado","Estado","M","N","LLEGADA","1"
"2025","01","SKAG","SKVP","SKAG","UNO","HTS","N","N","LLEGADA","1"
"2025","01","SKAG","ZZZZ","SKAG","Estado","Estado","M","N","LLEGADA","2"
"2025","01","SKAM","SKMD","SKAM","Estado","Estado","M","N","LLEGADA","1"
"2025","01","SKAP","AFIL","SKAP","Estado","Estado","M","N","LLEGADA","1"
"2025","01","SKAP","SKAP","SKAP","Estado","Estado","M","N","LLEGADA","76"
"2025","01","SKAP","SKAP","SKAP","Estado","Estado","M","N","SALIDA","76"
"2025","01","SKAP","SKAP","SKBO","Estado","Estado","M","N","SALIDA","26"
"2025","01","SKAP","SKAP","SKCC","Estado","Estado","M","N","SALIDA","2"
"2025","01","SKAP","SKAP","SKFL","Estado","Estado","M","N","SALIDA","1"
"2025","01","SKAP","SKAP","SKGB","Estado","Estado","M","N","SALIDA","3"
"2025","01","SKAP","SKAP","SKHZ","Estado","Estado","M","N","SALIDA","1"
"2025","01","SKAP","SKAP","SKIM","Estado","Estado","M","N","SALIDA","1"
"2025","01","SKAP","SKAP","SKMU","Estado","Estado","M","N","SALIDA","5"
"2025","01","SKAP","SKAP","SKNA","Estado","Estado","M","N","SALIDA","7"
"2025","01","SKAP","SKAP","SKPD","Estado","Estado","M","N","SALIDA","1"
"2025","01","SKAP","SKAP","SKPZ","Estado","Estado","M","N","SALIDA","2"
"2025","01","SKAP","SKAP","SKRG","Estado","Estado","M","N","SALIDA","1"
"2025","01","SKAP","SKAP","SKSJ","Estado","Estado","M","N","SALIDA","8"
"2025","01","SKAP","SKAP","SKSL","Estado","Estado","M","N","SALIDA","1"
"2025","01","SKAP","SKAP","SKTI","Estado","Estado","M","N","SALIDA","3"
"2025","01","SKAP","SKAP","SKTQ","Estado","Estado","M","N","SALIDA","4"
"2025","01","SKAP","SKAP","SKUA","Estado","Estado","M","N","SALIDA","5"
"2025","01","SKAP","SKAP","SKUB","Estado","Estado","M","N","SALIDA","2"
"2025","01","SKAP","SKAP","SKYP","Estado","Estado","M","N","SALIDA","10"
"2025","01","SKAP","SKBO","SKAP","Estado","Estado","M","N","LLEGADA","28"
"2025","01","SKAP","SKBQ","SKAP","Estado","Estado","M","N","LLEGADA","2"
"2025","01","SKAP","SKCC","SKAP","Estado","Estado","M","N","LLEGADA","1"
"2025","01","SKAP","SKGB","SKAP","Estado","Estado","M","N","LLEGADA","4"
"2025","01","SKAP","SKIM","SKAP","Estado","Estado","M","N","LLEGADA","2"
"2025","01","SKAP","SKME","SKAP","Estado","Estado","M","N","LLEGADA","2"
"2025","01","SKAP","SKMU","SKAP","Estado","Estado","M","N","LLEGADA","5"
"2025","01","SKAP","SKNA","SKAP","Estado","Estado","M","N","LLEGADA","4"
"2025","01","SKAP","SKPP","SKAP","Estado","Estado","M","N","LLEGADA","1"
"2025","01","SKAP","SKPQ","SKAP","Estado","Estado","M","N","LLEGADA","2"
"2025","01","SKAP","SKPS","SKAP","Estado","Estado","M","N","LLEGADA","1"
"2025","01","SKAP","SKRG","SKAP","Estado","Estado","M","N","LLEGADA","3"
"2025","01","SKAP","SKSA","SKAP","Estado","Estado","M","N","LLEGADA","1"
"2025","01","SKAP","SKSJ","SKAP","Estado","Estado","M","N","LLEGADA","8"
"2025","01","SKAP","SKTI","SKAP","Estado","Estado","M","N","LLEGADA","1"
"2025","01","SKAP","SKTQ","SKAP","Estado","Estado","M","N","LLEGADA","2"
"2025","01","SKAP","SKUA","SKAP","Estado","Estado","M","N","LLEGADA","2"
